band,ra,dec,ext_consdb,ext_dream,sig_dream,pixel_flag,has_flags,is_r0,clouds_cleaned,sigma_cleaned,visit_time,frame_time,dt_sec
i,357.8551408866303,-70.19584978300252,0.21096610085982448,0.021709442138671875,0.010852556675672531,0,False,True,0.021709442138671875,0.010852556675672531,2025-10-25 02:49:37.322000+00:00,2025-10-25 02:49:42.613000+00:00,5.291
i,357.85514589801494,-70.19585011543973,0.18728726604978263,0.02321624755859375,0.007758122403174639,0,False,True,0.02321624755859375,0.007758122403174639,2025-10-25 02:50:14.924000+00:00,2025-10-25 02:50:22.908000+00:00,7.984
i,5.188073357102635,-68.60924652318889,0.15955058820927093,0.0234832763671875,0.007804720662534237,0,False,True,0.0234832763671875,0.007804720662534237,2025-10-25 02:50:53.999000+00:00,2025-10-25 02:50:53.068000+00:00,0.931
i,5.188031437765489,-68.60924603123762,0.14080491044553156,0.008544921875,0.006506037898361683,0,False,True,0.008544921875,0.006506037898361683,2025-10-25 02:51:31.545000+00:00,2025-10-25 02:51:23.308000+00:00,8.237
i,6.773631165150894,-71.42492986251872,0.1533885491484419,0.06482696533203125,0.010838466696441174,0,False,True,0.06482696533203125,0.010838466696441174,2025-10-25 02:52:12.035000+00:00,2025-10-25 02:52:23.991000+00:00,11.956
i,6.773486778977691,-71.42492927278496,0.11748649435671865,0.06174278259277344,0.008978325873613358,0,False,True,0.06174278259277344,0.008978325873613358,2025-10-25 02:52:49.464000+00:00,2025-10-25 02:52:54.441000+00:00,4.977
i,13.658198708829413,-69.54014053256303,0.12104875814093319,0.043415069580078125,0.005694122053682804,0,False,True,0.043415069580078125,0.005694122053682804,2025-10-25 02:53:28.526000+00:00,2025-10-25 02:53:34.641000+00:00,6.115
i,13.658237747493024,-69.54013969643864,0.12316807771118476,0.025003433227539062,0.0077124121598899364,0,False,True,0.025003433227539062,0.0077124121598899364,2025-10-25 02:54:06.031000+00:00,2025-10-25 02:54:05.341000+00:00,0.69
i,11.427649024824023,-66.75517989211848,0.16956720655308644,0.0026149749755859375,0.005281165707856417,0,False,True,0.0026149749755859375,0.005281165707856417,2025-10-25 02:54:44.125000+00:00,2025-10-25 02:54:35.638000+00:00,8.487
i,11.427843377631778,-66.75516518008382,0.13672830702268257,0.012063980102539062,0.00453247781842947,0,False,True,0.012063980102539062,0.00453247781842947,2025-10-25 02:55:21.672000+00:00,2025-10-25 02:55:36.152000+00:00,14.48
