band,ra,dec,ext_consdb,err_consdb,ext_dream,sig_dream,visit_time,dt_sec
r,77.72816870908672,-30.776436786423535,-0.02110967852855339,,0.07959365844726562,0.010600586421787739,2025-12-16 06:39:14.043000+00:00,13.603
u,79.48283980442918,-30.77216026431983,0.10231035564387625,,0.10957527160644531,0.012809311971068382,2025-12-16 06:43:50.365000+00:00,10.350999999999999
u,79.48287129952976,-30.772160478391694,0.10200400338719007,,0.105224609375,0.012076981365680695,2025-12-16 06:46:22.287000+00:00,0.742
r,81.26993690885091,-30.767803682081837,-0.024332122292427982,,0.07746505737304688,0.0065285395830869675,2025-12-16 06:51:01.539000+00:00,2.429
r,81.26994716441091,-30.767803286225135,-0.023537012389191148,,0.07758331298828125,0.007528697140514851,2025-12-16 06:53:32.692000+00:00,12.487
u,83.06988047735756,-30.763393996278822,0.09470666864090305,,0.027238845825195312,0.010044860653579235,2025-12-16 06:58:07.708000+00:00,0.324
u,83.06972063385972,-30.763394177876755,0.09717536174082753,,0.026760101318359375,0.00796811655163765,2025-12-16 07:00:39.185000+00:00,0.347
r,84.85251603920865,-30.759007068337635,-0.020080937466786963,,0.06628036499023438,0.008347148075699806,2025-12-16 07:05:14.265000+00:00,13.413
r,84.85258085020685,-30.759006500068615,-0.018375065075321828,,0.053470611572265625,0.007848041132092476,2025-12-16 07:07:44.045000+00:00,12.031
r,86.24616841498661,-30.75556587597682,-0.015723434989407536,,0.01558685302734375,0.00736318388953805,2025-12-16 07:08:56.550000+00:00,13.954
r,86.24628586008271,-30.75556567915723,-0.01770443432195279,,0.00666046142578125,0.007793987635523081,2025-12-16 07:09:32.948000+00:00,10.137
r,86.80069286787769,-30.754220436391762,-0.017200802009117666,,0.07890701293945312,0.005316070280969143,2025-12-16 07:11:09.309000+00:00,14.523
r,86.80057145672137,-30.754195707772197,-0.016961632949580974,,0.06870651245117188,0.007588853593915701,2025-12-16 07:11:45.720000+00:00,8.334
r,87.31233514664774,-30.75295556019062,-0.02049193782280767,,0.07523345947265625,0.005404085852205753,2025-12-16 07:13:11.589000+00:00,13.242
r,87.31211863080644,-30.752930383644088,-0.017944876917567854,,0.06669807434082031,0.0063899243250489235,2025-12-16 07:13:48.008000+00:00,7.059
r,88.25577844031396,-30.75062134787086,-0.026593193935887882,,0.03141021728515625,0.006096250843256712,2025-12-16 07:18:53.724000+00:00,6.102
r,88.25574312524243,-30.750595455972327,-0.02087916007204882,,0.024967193603515625,0.004518105648458004,2025-12-16 07:21:24.525000+00:00,4.281
u,90.2292065672773,-30.745704158955345,0.09315045718921056,,0.05410194396972656,0.007851729169487953,2025-12-16 07:26:40.575000+00:00,0.703
u,90.2292895854746,-30.74570235274635,0.10168017548091868,,0.06418037414550781,0.007906128652393818,2025-12-16 07:29:10.506000+00:00,12.133
r,92.16008440910603,-30.74091495123444,-0.027085852463194726,,0.09551811218261719,0.007325788959860802,2025-12-16 07:34:27.486000+00:00,12.148
r,92.15997045110254,-30.740914247281655,-0.025570414857703838,,0.09464454650878906,0.007724331691861153,2025-12-16 07:36:58.036000+00:00,6.477
u,94.11500147490142,-30.73606964916392,0.09359214946281824,,0.03465461730957031,0.00599949574097991,2025-12-16 07:42:15.580000+00:00,1.593
u,94.1148413671161,-30.736068147907506,0.09829344944095908,,0.04647254943847656,0.005939619615674019,2025-12-16 07:44:45.111000+00:00,0.284
u,98.0455886159217,-30.726388147056575,0.08435810738165728,,0.05852508544921875,0.00636453228071332,2025-12-16 07:57:56.993000+00:00,15.097
